




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6399963 Released 2022-03-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20589)	upload_1 (42)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
muscle hypertrophy (GO:0014896)	30	2	.06	+	32.68	1.93E-03	3.97E-02
embryonic axis specification (GO:0000578)	45	3	.09	+	32.68	1.27E-04	3.84E-03
face morphogenesis (GO:0060325)	31	2	.06	+	31.63	2.05E-03	4.19E-02
neural tube patterning (GO:0021532)	31	2	.06	+	31.63	2.05E-03	4.18E-02
regulation of intrinsic apoptotic signaling pathway by p53 class mediator (GO:1902253)	31	2	.06	+	31.63	2.05E-03	4.18E-02
response to interleukin-4 (GO:0070670)	31	2	.06	+	31.63	2.05E-03	4.17E-02
cardiac cell development (GO:0055006)	62	4	.13	+	31.63	9.76E-06	4.22E-04
hair follicle morphogenesis (GO:0031069)	31	2	.06	+	31.63	2.05E-03	4.17E-02
positive regulation of transforming growth factor beta receptor signaling pathway (GO:0030511)	31	2	.06	+	31.63	2.05E-03	4.16E-02
positive regulation of cellular response to transforming growth factor beta stimulus (GO:1903846)	31	2	.06	+	31.63	2.05E-03	4.16E-02
regulation of mesenchymal cell proliferation (GO:0010464)	31	2	.06	+	31.63	2.05E-03	4.15E-02
negative regulation of oxidative stress-induced cell death (GO:1903202)	47	3	.10	+	31.29	1.44E-04	4.28E-03
negative regulation of osteoblast differentiation (GO:0045668)	47	3	.10	+	31.29	1.44E-04	4.27E-03
negative regulation of cold-induced thermogenesis (GO:0120163)	47	3	.10	+	31.29	1.44E-04	4.26E-03
ventricular cardiac muscle tissue morphogenesis (GO:0055010)	47	3	.10	+	31.29	1.44E-04	4.25E-03
regulation of epithelial to mesenchymal transition (GO:0010717)	94	6	.19	+	31.29	5.08E-08	3.84E-06
cell differentiation involved in kidney development (GO:0061005)	47	3	.10	+	31.29	1.44E-04	4.25E-03
inner ear receptor cell differentiation (GO:0060113)	63	4	.13	+	31.12	1.04E-05	4.44E-04
positive regulation of animal organ morphogenesis (GO:0110110)	32	2	.07	+	30.64	2.18E-03	4.38E-02
regulation of muscle tissue development (GO:1901861)	48	3	.10	+	30.64	1.53E-04	4.45E-03
regulation of cardiac muscle cell apoptotic process (GO:0010665)	32	2	.07	+	30.64	2.18E-03	4.37E-02
hair follicle development (GO:0001942)	81	5	.17	+	30.26	8.43E-07	4.75E-05
odontogenesis of dentin-containing tooth (GO:0042475)	81	5	.17	+	30.26	8.43E-07	4.74E-05
nephron development (GO:0072006)	130	8	.27	+	30.17	3.18E-10	4.23E-08
kidney epithelium development (GO:0072073)	131	8	.27	+	29.94	3.37E-10	4.44E-08
branching morphogenesis of an epithelial tube (GO:0048754)	133	8	.27	+	29.49	3.78E-10	4.90E-08
regulation of telomerase activity (GO:0051972)	50	3	.10	+	29.41	1.71E-04	4.98E-03
animal organ regeneration (GO:0031100)	67	4	.14	+	29.27	1.31E-05	5.43E-04
cell fate specification (GO:0001708)	84	5	.17	+	29.18	1.00E-06	5.58E-05
ureteric bud development (GO:0001657)	84	5	.17	+	29.18	1.00E-06	5.56E-05
mesonephric tubule development (GO:0072164)	85	5	.17	+	28.84	1.06E-06	5.79E-05
mesonephric epithelium development (GO:0072163)	85	5	.17	+	28.84	1.06E-06	5.77E-05
kidney morphogenesis (GO:0060993)	85	5	.17	+	28.84	1.06E-06	5.75E-05
hair cycle process (GO:0022405)	85	5	.17	+	28.84	1.06E-06	5.73E-05
molting cycle process (GO:0022404)	85	5	.17	+	28.84	1.06E-06	5.71E-05
blood vessel remodeling (GO:0001974)	34	2	.07	+	28.84	2.44E-03	4.86E-02
cell differentiation in spinal cord (GO:0021515)	51	3	.10	+	28.84	1.81E-04	5.22E-03
positive regulation of telomerase activity (GO:0051973)	34	2	.07	+	28.84	2.44E-03	4.85E-02
regulation of presynapse assembly (GO:1905606)	34	2	.07	+	28.84	2.44E-03	4.85E-02
regulation of presynapse organization (GO:0099174)	34	2	.07	+	28.84	2.44E-03	4.84E-02
mechanoreceptor differentiation (GO:0042490)	68	4	.14	+	28.84	1.38E-05	5.65E-04
cellular response to retinoic acid (GO:0071300)	69	4	.14	+	28.42	1.46E-05	5.91E-04
muscle tissue morphogenesis (GO:0060415)	70	4	.14	+	28.01	1.54E-05	6.20E-04
cell-cell signaling by wnt (GO:0198738)	282	16	.58	+	27.81	2.85E-19	1.12E-15
Wnt signaling pathway (GO:0016055)	282	16	.58	+	27.81	2.85E-19	8.93E-16
negative regulation of fat cell differentiation (GO:0045599)	53	3	.11	+	27.75	2.02E-04	5.79E-03
regulation of cardiac muscle tissue growth (GO:0055021)	53	3	.11	+	27.75	2.02E-04	5.78E-03
cardiac chamber morphogenesis (GO:0003206)	124	7	.25	+	27.67	7.94E-09	7.07E-07
mesonephros development (GO:0001823)	89	5	.18	+	27.54	1.31E-06	6.81E-05
regulation of transcription regulatory region DNA binding (GO:2000677)	54	3	.11	+	27.23	2.13E-04	6.07E-03
anterior/posterior pattern specification (GO:0009952)	217	12	.44	+	27.11	2.16E-14	8.25E-12
negative regulation of neuron differentiation (GO:0045665)	73	4	.15	+	26.86	1.80E-05	7.19E-04
regulation of establishment of planar polarity (GO:0090175)	73	4	.15	+	26.86	1.80E-05	7.17E-04
response to retinoic acid (GO:0032526)	112	6	.23	+	26.26	1.37E-07	9.35E-06
positive regulation of epithelial cell differentiation (GO:0030858)	56	3	.11	+	26.26	2.36E-04	6.59E-03
ventricular cardiac muscle tissue development (GO:0003229)	56	3	.11	+	26.26	2.36E-04	6.58E-03
cell fate commitment (GO:0045165)	245	13	.50	+	26.01	2.50E-15	1.22E-12
artery development (GO:0060840)	96	5	.20	+	25.53	1.87E-06	9.36E-05
muscle organ morphogenesis (GO:0048644)	77	4	.16	+	25.47	2.20E-05	8.59E-04
embryonic pattern specification (GO:0009880)	77	4	.16	+	25.47	2.20E-05	8.57E-04
regulation of muscle cell differentiation (GO:0051147)	135	7	.28	+	25.42	1.39E-08	1.19E-06
heterochromatin organization (GO:0070828)	58	3	.12	+	25.36	2.60E-04	7.25E-03
histone deacetylation (GO:0016575)	58	3	.12	+	25.36	2.60E-04	7.24E-03
negative regulation of canonical Wnt signaling pathway (GO:0090090)	155	8	.32	+	25.30	1.20E-09	1.32E-07
T cell differentiation (GO:0030217)	155	8	.32	+	25.30	1.20E-09	1.31E-07
hair cycle (GO:0042633)	98	5	.20	+	25.01	2.07E-06	1.03E-04
molting cycle (GO:0042303)	98	5	.20	+	25.01	2.07E-06	1.02E-04
cardiac muscle tissue morphogenesis (GO:0055008)	59	3	.12	+	24.93	2.73E-04	7.49E-03
regulation of heart growth (GO:0060420)	60	3	.12	+	24.51	2.86E-04	7.81E-03
sprouting angiogenesis (GO:0002040)	60	3	.12	+	24.51	2.86E-04	7.80E-03
regulation of fibroblast proliferation (GO:0048145)	80	4	.16	+	24.51	2.54E-05	9.63E-04
negative regulation of cell-substrate adhesion (GO:0010812)	60	3	.12	+	24.51	2.86E-04	7.79E-03
morphogenesis of a branching epithelium (GO:0061138)	162	8	.33	+	24.21	1.68E-09	1.74E-07
protein deacetylation (GO:0006476)	61	3	.12	+	24.11	3.00E-04	8.13E-03
positive regulation of gliogenesis (GO:0014015)	61	3	.12	+	24.11	3.00E-04	8.11E-03
embryonic digit morphogenesis (GO:0042733)	61	3	.12	+	24.11	3.00E-04	8.10E-03
embryonic limb morphogenesis (GO:0030326)	122	6	.25	+	24.11	2.21E-07	1.45E-05
embryonic appendage morphogenesis (GO:0035113)	122	6	.25	+	24.11	2.21E-07	1.44E-05
odontogenesis (GO:0042476)	123	6	.25	+	23.91	2.32E-07	1.50E-05
regulation of epithelial cell differentiation (GO:0030856)	144	7	.29	+	23.83	2.13E-08	1.76E-06
regulation of BMP signaling pathway (GO:0030510)	103	5	.21	+	23.80	2.61E-06	1.27E-04
regulation of DNA binding (GO:0051101)	124	6	.25	+	23.72	2.43E-07	1.55E-05
regulation of miRNA transcription (GO:1902893)	62	3	.13	+	23.72	3.14E-04	8.31E-03
G1/S transition of mitotic cell cycle (GO:0000082)	83	4	.17	+	23.62	2.92E-05	1.08E-03
mesenchymal cell differentiation (GO:0048762)	167	8	.34	+	23.48	2.11E-09	2.14E-07
cardiac chamber development (GO:0003205)	168	8	.34	+	23.34	2.20E-09	2.23E-07
negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090101)	147	7	.30	+	23.34	2.44E-08	1.96E-06
cardiac ventricle development (GO:0003231)	126	6	.26	+	23.34	2.66E-07	1.68E-05
embryonic epithelial tube formation (GO:0001838)	127	6	.26	+	23.16	2.78E-07	1.73E-05
cell cycle G1/S phase transition (GO:0044843)	85	4	.17	+	23.07	3.20E-05	1.18E-03
morphogenesis of embryonic epithelium (GO:0016331)	149	7	.30	+	23.03	2.67E-08	2.11E-06
regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618)	64	3	.13	+	22.98	3.43E-04	9.03E-03
morphogenesis of a branching structure (GO:0001763)	171	8	.35	+	22.93	2.52E-09	2.53E-07
hindbrain development (GO:0030902)	150	7	.31	+	22.88	2.79E-08	2.18E-06
tube formation (GO:0035148)	150	7	.31	+	22.88	2.79E-08	2.17E-06
embryonic placenta development (GO:0001892)	86	4	.18	+	22.80	3.34E-05	1.23E-03
regulation of morphogenesis of an epithelium (GO:1905330)	65	3	.13	+	22.63	3.59E-04	9.37E-03
cell surface receptor signaling pathway involved in cell-cell signaling (GO:1905114)	351	16	.72	+	22.35	7.94E-18	1.04E-14
oligodendrocyte differentiation (GO:0048709)	66	3	.13	+	22.28	3.74E-04	9.62E-03
midbrain development (GO:0030901)	88	4	.18	+	22.28	3.64E-05	1.32E-03
metencephalon development (GO:0022037)	111	5	.23	+	22.08	3.71E-06	1.76E-04
stem cell population maintenance (GO:0019827)	111	5	.23	+	22.08	3.71E-06	1.75E-04
non-canonical Wnt signaling pathway (GO:0035567)	67	3	.14	+	21.95	3.91E-04	9.97E-03
heart morphogenesis (GO:0003007)	246	11	.50	+	21.92	2.75E-12	6.35E-10
positive regulation of Wnt signaling pathway (GO:0030177)	157	7	.32	+	21.86	3.77E-08	2.88E-06
epithelial tube formation (GO:0072175)	135	6	.28	+	21.79	3.92E-07	2.36E-05
maintenance of cell number (GO:0098727)	113	5	.23	+	21.69	4.04E-06	1.89E-04
regionalization (GO:0003002)	340	15	.69	+	21.63	1.66E-16	1.24E-13
mesoderm formation (GO:0001707)	69	3	.14	+	21.31	4.24E-04	1.07E-02
neural precursor cell proliferation (GO:0061351)	69	3	.14	+	21.31	4.24E-04	1.07E-02
neural tube closure (GO:0001843)	93	4	.19	+	21.08	4.48E-05	1.56E-03
cellular response to alcohol (GO:0097306)	93	4	.19	+	21.08	4.48E-05	1.56E-03
vasculogenesis (GO:0001570)	70	3	.14	+	21.01	4.42E-04	1.11E-02
regulation of DNA-templated transcription in response to stress (GO:0043620)	70	3	.14	+	21.01	4.42E-04	1.11E-02
negative regulation of Wnt signaling pathway (GO:0030178)	187	8	.38	+	20.97	4.94E-09	4.56E-07
regulation of gliogenesis (GO:0014013)	94	4	.19	+	20.86	4.66E-05	1.61E-03
negative regulation of transforming growth factor beta receptor signaling pathway (GO:0030512)	94	4	.19	+	20.86	4.66E-05	1.60E-03
tube closure (GO:0060606)	94	4	.19	+	20.86	4.66E-05	1.60E-03
lymphocyte differentiation (GO:0030098)	260	11	.53	+	20.74	4.90E-12	1.11E-09
regulation of oxidative stress-induced cell death (GO:1903201)	71	3	.14	+	20.71	4.60E-04	1.15E-02
regulation of stem cell population maintenance (GO:2000036)	71	3	.14	+	20.71	4.60E-04	1.15E-02
mesoderm morphogenesis (GO:0048332)	71	3	.14	+	20.71	4.60E-04	1.14E-02
regulation of cartilage development (GO:0061035)	71	3	.14	+	20.71	4.60E-04	1.14E-02
epithelial tube morphogenesis (GO:0060562)	311	13	.63	+	20.49	4.71E-14	1.61E-11
protein deacylation (GO:0035601)	72	3	.15	+	20.43	4.78E-04	1.17E-02
limb morphogenesis (GO:0035108)	145	6	.30	+	20.28	5.87E-07	3.41E-05
appendage morphogenesis (GO:0035107)	145	6	.30	+	20.28	5.87E-07	3.40E-05
B cell differentiation (GO:0030183)	121	5	.25	+	20.26	5.57E-06	2.56E-04
regulation of glial cell differentiation (GO:0045685)	73	3	.15	+	20.15	4.97E-04	1.22E-02
regulation of canonical Wnt signaling pathway (GO:0060828)	270	11	.55	+	19.97	7.25E-12	1.53E-09
primary neural tube formation (GO:0014020)	99	4	.20	+	19.81	5.67E-05	1.92E-03
diencephalon development (GO:0021536)	75	3	.15	+	19.61	5.37E-04	1.31E-02
spinal cord development (GO:0021510)	100	4	.20	+	19.61	5.89E-05	1.98E-03
regulation of osteoblast differentiation (GO:0045667)	126	5	.26	+	19.45	6.73E-06	3.02E-04
inner ear development (GO:0048839)	202	8	.41	+	19.41	8.84E-09	7.74E-07
macromolecule deacylation (GO:0098732)	76	3	.16	+	19.35	5.57E-04	1.35E-02
cerebellum development (GO:0021549)	102	4	.21	+	19.22	6.34E-05	2.07E-03
negative regulation of cellular response to growth factor stimulus (GO:0090288)	102	4	.21	+	19.22	6.34E-05	2.07E-03
regulation of biomineral tissue development (GO:0070167)	102	4	.21	+	19.22	6.34E-05	2.07E-03
endoderm development (GO:0007492)	77	3	.16	+	19.10	5.78E-04	1.39E-02
regulation of myoblast differentiation (GO:0045661)	77	3	.16	+	19.10	5.78E-04	1.39E-02
limb development (GO:0060173)	180	7	.37	+	19.06	9.27E-08	6.60E-06
appendage development (GO:0048736)	180	7	.37	+	19.06	9.27E-08	6.57E-06
regulation of biomineralization (GO:0110149)	104	4	.21	+	18.85	6.82E-05	2.21E-03
regulation of Wnt signaling pathway (GO:0030111)	346	13	.71	+	18.42	1.75E-13	4.81E-11
neural tube development (GO:0021915)	160	6	.33	+	18.38	1.02E-06	5.66E-05
neural tube formation (GO:0001841)	107	4	.22	+	18.33	7.59E-05	2.44E-03
cardiocyte differentiation (GO:0035051)	107	4	.22	+	18.33	7.59E-05	2.43E-03
gastrulation (GO:0007369)	162	6	.33	+	18.16	1.10E-06	5.91E-05
regulation of neuron differentiation (GO:0045664)	190	7	.39	+	18.06	1.32E-07	9.09E-06
mononuclear cell differentiation (GO:1903131)	299	11	.61	+	18.03	2.09E-11	3.81E-09
negative regulation of myeloid cell differentiation (GO:0045638)	82	3	.17	+	17.93	6.90E-04	1.61E-02
dorsal/ventral pattern formation (GO:0009953)	82	3	.17	+	17.93	6.90E-04	1.61E-02
negative regulation of binding (GO:0051100)	164	6	.33	+	17.93	1.18E-06	6.29E-05
regulation of cellular response to oxidative stress (GO:1900407)	82	3	.17	+	17.93	6.90E-04	1.60E-02
embryonic heart tube development (GO:0035050)	83	3	.17	+	17.72	7.14E-04	1.65E-02
cellular response to hypoxia (GO:0071456)	139	5	.28	+	17.63	1.07E-05	4.56E-04
regulation of transforming growth factor beta receptor signaling pathway (GO:0017015)	139	5	.28	+	17.63	1.07E-05	4.55E-04
tissue morphogenesis (GO:0048729)	560	20	1.14	+	17.51	1.99E-20	1.56E-16
lymphocyte proliferation (GO:0046651)	84	3	.17	+	17.51	7.38E-04	1.70E-02
glial cell differentiation (GO:0010001)	169	6	.34	+	17.40	1.39E-06	7.20E-05
regulation of cellular response to growth factor stimulus (GO:0090287)	311	11	.63	+	17.34	3.14E-11	5.18E-09
pattern specification process (GO:0007389)	453	16	.92	+	17.31	3.82E-16	2.49E-13
morphogenesis of an epithelium (GO:0002009)	453	16	.92	+	17.31	3.82E-16	2.40E-13
B cell activation (GO:0042113)	170	6	.35	+	17.30	1.44E-06	7.35E-05
regulation of cellular response to transforming growth factor beta stimulus (GO:1903844)	142	5	.29	+	17.26	1.18E-05	4.94E-04
ear development (GO:0043583)	229	8	.47	+	17.13	2.27E-08	1.84E-06
mononuclear cell proliferation (GO:0032943)	86	3	.18	+	17.10	7.89E-04	1.80E-02
regulation of embryonic development (GO:0045995)	86	3	.18	+	17.10	7.89E-04	1.80E-02
formation of primary germ layer (GO:0001704)	115	4	.23	+	17.05	9.94E-05	3.09E-03
regulation of animal organ morphogenesis (GO:2000027)	144	5	.29	+	17.02	1.26E-05	5.25E-04
mesenchyme development (GO:0060485)	232	8	.47	+	16.90	2.50E-08	2.00E-06
positive regulation of MAP kinase activity (GO:0043406)	116	4	.24	+	16.90	1.03E-04	3.18E-03
regulation of organ growth (GO:0046620)	87	3	.18	+	16.90	8.15E-04	1.85E-02
regulation of stem cell differentiation (GO:2000736)	88	3	.18	+	16.71	8.41E-04	1.91E-02
regulation of neural precursor cell proliferation (GO:2000177)	88	3	.18	+	16.71	8.41E-04	1.90E-02
cellular response to decreased oxygen levels (GO:0036294)	147	5	.30	+	16.67	1.39E-05	5.65E-04
positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090100)	118	4	.24	+	16.62	1.09E-04	3.37E-03
placenta development (GO:0001890)	148	5	.30	+	16.56	1.43E-05	5.82E-04
T cell activation (GO:0042110)	268	9	.55	+	16.46	3.77E-09	3.58E-07
positive regulation of neuron death (GO:1901216)	90	3	.18	+	16.34	8.96E-04	2.02E-02
epidermal cell differentiation (GO:0009913)	211	7	.43	+	16.26	2.63E-07	1.68E-05
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092)	273	9	.56	+	16.16	4.41E-09	4.13E-07
regulation of blood vessel endothelial cell migration (GO:0043535)	91	3	.19	+	16.16	9.25E-04	2.08E-02
roof of mouth development (GO:0060021)	92	3	.19	+	15.99	9.53E-04	2.13E-02
regulation of response to oxidative stress (GO:1902882)	92	3	.19	+	15.99	9.53E-04	2.13E-02
liver development (GO:0001889)	123	4	.25	+	15.94	1.28E-04	3.85E-03
response to estradiol (GO:0032355)	125	4	.25	+	15.69	1.36E-04	4.06E-03
mammary gland development (GO:0030879)	125	4	.25	+	15.69	1.36E-04	4.05E-03
epithelial cell proliferation (GO:0050673)	94	3	.19	+	15.65	1.01E-03	2.22E-02
hepaticobiliary system development (GO:0061008)	126	4	.26	+	15.56	1.40E-04	4.17E-03
in utero embryonic development (GO:0001701)	388	12	.79	+	15.16	1.57E-11	2.89E-09
tissue remodeling (GO:0048771)	97	3	.20	+	15.16	1.11E-03	2.41E-02
cellular response to oxygen levels (GO:0071453)	163	5	.33	+	15.04	2.25E-05	8.70E-04
leukocyte proliferation (GO:0070661)	98	3	.20	+	15.01	1.14E-03	2.47E-02
positive regulation of developmental growth (GO:0048639)	164	5	.33	+	14.95	2.31E-05	8.93E-04
leukocyte differentiation (GO:0002521)	363	11	.74	+	14.85	1.55E-10	2.23E-08
regulation of fat cell differentiation (GO:0045598)	133	4	.27	+	14.74	1.71E-04	4.97E-03
cardiac muscle tissue development (GO:0048738)	170	5	.35	+	14.42	2.74E-05	1.03E-03
striated muscle tissue development (GO:0014706)	175	5	.36	+	14.01	3.13E-05	1.16E-03
lymphocyte activation (GO:0046649)	421	12	.86	+	13.97	3.93E-11	6.28E-09
negative regulation of nervous system development (GO:0051961)	143	4	.29	+	13.71	2.24E-04	6.29E-03
chordate embryonic development (GO:0043009)	644	18	1.31	+	13.70	1.79E-16	1.27E-13
regulation of neurogenesis (GO:0050767)	358	10	.73	+	13.69	2.56E-09	2.55E-07
heart development (GO:0007507)	538	15	1.10	+	13.67	1.11E-13	3.35E-11
angiogenesis (GO:0001525)	325	9	.66	+	13.58	1.91E-08	1.59E-06
cell population proliferation (GO:0008283)	507	14	1.03	+	13.54	9.97E-13	2.40E-10
epithelial cell development (GO:0002064)	182	5	.37	+	13.47	3.76E-05	1.35E-03
kidney development (GO:0001822)	292	8	.60	+	13.43	1.40E-07	9.53E-06
gliogenesis (GO:0042063)	219	6	.45	+	13.43	5.95E-06	2.72E-04
muscle cell differentiation (GO:0042692)	256	7	.52	+	13.40	9.31E-07	5.21E-05
glial cell development (GO:0021782)	110	3	.22	+	13.37	1.57E-03	3.33E-02
epidermis development (GO:0008544)	331	9	.68	+	13.33	2.23E-08	1.82E-06
embryo development ending in birth or egg hatching (GO:0009792)	665	18	1.36	+	13.27	3.08E-16	2.10E-13
renal system development (GO:0072001)	301	8	.61	+	13.03	1.75E-07	1.18E-05
regeneration (GO:0031099)	152	4	.31	+	12.90	2.81E-04	7.70E-03
positive regulation of protein serine/threonine kinase activity (GO:0071902)	230	6	.47	+	12.79	7.81E-06	3.43E-04
positive regulation of histone modification (GO:0031058)	115	3	.23	+	12.79	1.78E-03	3.71E-02
negative regulation of cell-cell adhesion (GO:0022408)	192	5	.39	+	12.77	4.82E-05	1.65E-03
eye morphogenesis (GO:0048592)	155	4	.32	+	12.65	3.03E-04	8.16E-03
negative regulation of cell differentiation (GO:0045596)	662	17	1.35	+	12.59	6.05E-15	2.63E-12
sensory organ morphogenesis (GO:0090596)	273	7	.56	+	12.57	1.41E-06	7.29E-05
embryonic morphogenesis (GO:0048598)	586	15	1.20	+	12.55	3.70E-13	9.84E-11
tube morphogenesis (GO:0035239)	666	17	1.36	+	12.51	6.66E-15	2.82E-12
stem cell differentiation (GO:0048863)	157	4	.32	+	12.49	3.17E-04	8.39E-03
regulation of myeloid cell differentiation (GO:0045637)	197	5	.40	+	12.44	5.43E-05	1.84E-03
myeloid leukocyte differentiation (GO:0002573)	119	3	.24	+	12.36	1.96E-03	4.02E-02
regulation of nervous system development (GO:0051960)	437	11	.89	+	12.34	1.05E-09	1.16E-07
regulation of myeloid leukocyte differentiation (GO:0002761)	120	3	.24	+	12.26	2.00E-03	4.10E-02
muscle structure development (GO:0061061)	480	12	.98	+	12.26	1.71E-10	2.39E-08
positive regulation of canonical Wnt signaling pathway (GO:0090263)	121	3	.25	+	12.15	2.05E-03	4.19E-02
regulation of ossification (GO:0030278)	121	3	.25	+	12.15	2.05E-03	4.19E-02
skin development (GO:0043588)	283	7	.58	+	12.13	1.79E-06	8.94E-05
lymphocyte activation involved in immune response (GO:0002285)	122	3	.25	+	12.05	2.10E-03	4.23E-02
regulation of DNA biosynthetic process (GO:2000278)	123	3	.25	+	11.96	2.15E-03	4.32E-02
sensory organ development (GO:0007423)	574	14	1.17	+	11.96	5.08E-12	1.14E-09
mitotic cell cycle phase transition (GO:0044772)	164	4	.33	+	11.96	3.73E-04	9.60E-03
embryonic organ development (GO:0048568)	453	11	.92	+	11.90	1.51E-09	1.58E-07
regulation of binding (GO:0051098)	371	9	.76	+	11.89	5.79E-08	4.30E-06
anatomical structure formation involved in morphogenesis (GO:0048646)	913	22	1.86	+	11.81	4.68E-19	1.05E-15
camera-type eye morphogenesis (GO:0048593)	125	3	.25	+	11.77	2.24E-03	4.49E-02
mesoderm development (GO:0007498)	126	3	.26	+	11.67	2.29E-03	4.57E-02
blood vessel morphogenesis (GO:0048514)	421	10	.86	+	11.64	1.16E-08	1.00E-06
forebrain development (GO:0030900)	380	9	.78	+	11.61	7.07E-08	5.10E-06
urogenital system development (GO:0001655)	339	8	.69	+	11.57	4.24E-07	2.53E-05
negative regulation of developmental process (GO:0051093)	898	21	1.83	+	11.46	7.46E-18	1.06E-14
positive regulation of growth (GO:0045927)	259	6	.53	+	11.36	1.51E-05	6.10E-04
epithelial cell differentiation (GO:0030855)	605	14	1.23	+	11.34	1.01E-11	1.98E-09
cell cycle phase transition (GO:0044770)	173	4	.35	+	11.33	4.54E-04	1.14E-02
regulation of signaling receptor activity (GO:0010469)	174	4	.35	+	11.27	4.64E-04	1.15E-02
muscle tissue development (GO:0060537)	306	7	.62	+	11.21	2.96E-06	1.42E-04
positive regulation of neurogenesis (GO:0050769)	220	5	.45	+	11.14	9.04E-05	2.83E-03
leukocyte activation (GO:0045321)	532	12	1.09	+	11.06	5.39E-10	6.60E-08
regulation of cell development (GO:0060284)	496	11	1.01	+	10.87	3.81E-09	3.60E-07
gland development (GO:0048732)	406	9	.83	+	10.87	1.23E-07	8.50E-06
regulation of MAP kinase activity (GO:0043405)	182	4	.37	+	10.77	5.48E-04	1.33E-02
regulation of developmental growth (GO:0048638)	320	7	.65	+	10.72	3.95E-06	1.86E-04
epithelium development (GO:0060429)	1054	23	2.15	+	10.70	4.42E-19	1.15E-15
response to oxygen levels (GO:0070482)	326	7	.67	+	10.53	4.45E-06	2.08E-04
positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731)	187	4	.38	+	10.49	6.05E-04	1.45E-02
regulation of cell division (GO:0051302)	188	4	.38	+	10.43	6.17E-04	1.45E-02
reproductive structure development (GO:0048608)	427	9	.87	+	10.33	1.86E-07	1.23E-05
hemopoiesis (GO:0030097)	617	13	1.26	+	10.33	2.01E-10	2.76E-08
response to hypoxia (GO:0001666)	286	6	.58	+	10.28	2.61E-05	9.86E-04
reproductive system development (GO:0061458)	430	9	.88	+	10.26	1.97E-07	1.30E-05
response to alcohol (GO:0097305)	240	5	.49	+	10.21	1.35E-04	4.05E-03
positive regulation of epithelial cell proliferation (GO:0050679)	194	4	.40	+	10.11	6.93E-04	1.61E-02
protein processing (GO:0016485)	194	4	.40	+	10.11	6.93E-04	1.60E-02
animal organ morphogenesis (GO:0009887)	988	20	2.02	+	9.92	9.23E-16	4.99E-13
circulatory system development (GO:0072359)	890	18	1.82	+	9.91	4.24E-14	1.51E-11
respiratory system development (GO:0060541)	199	4	.41	+	9.85	7.60E-04	1.74E-02
response to decreased oxygen levels (GO:0036293)	299	6	.61	+	9.84	3.33E-05	1.23E-03
blood vessel development (GO:0001568)	508	10	1.04	+	9.65	6.53E-08	4.76E-06
tube development (GO:0035295)	864	17	1.76	+	9.65	4.18E-13	1.09E-10
hematopoietic or lymphoid organ development (GO:0048534)	666	13	1.36	+	9.57	5.02E-10	6.20E-08
embryo development (GO:0009790)	1044	20	2.13	+	9.39	2.59E-15	1.23E-12
vasculature development (GO:0001944)	530	10	1.08	+	9.25	9.62E-08	6.79E-06
positive regulation of DNA-binding transcription factor activity (GO:0051091)	265	5	.54	+	9.25	2.12E-04	6.06E-03
head development (GO:0060322)	804	15	1.64	+	9.15	3.06E-11	5.10E-09
positive regulation of nervous system development (GO:0051962)	268	5	.55	+	9.15	2.23E-04	6.26E-03
eye development (GO:0001654)	376	7	.77	+	9.13	1.11E-05	4.71E-04
connective tissue development (GO:0061448)	215	4	.44	+	9.12	1.01E-03	2.21E-02
brain development (GO:0007420)	757	14	1.54	+	9.07	1.84E-10	2.56E-08
visual system development (GO:0150063)	380	7	.78	+	9.03	1.19E-05	4.96E-04
camera-type eye development (GO:0043010)	326	6	.67	+	9.02	5.34E-05	1.82E-03
cell activation (GO:0001775)	654	12	1.33	+	8.99	5.28E-09	4.81E-07
immune system development (GO:0002520)	710	13	1.45	+	8.98	1.08E-09	1.19E-07
sensory system development (GO:0048880)	386	7	.79	+	8.89	1.31E-05	5.43E-04
regulation of hemopoiesis (GO:1903706)	386	7	.79	+	8.89	1.31E-05	5.42E-04
regulation of epithelial cell proliferation (GO:0050678)	337	6	.69	+	8.73	6.40E-05	2.08E-03
negative regulation of cell migration (GO:0030336)	286	5	.58	+	8.57	2.99E-04	8.13E-03
negative regulation of cell adhesion (GO:0007162)	287	5	.59	+	8.54	3.04E-04	8.19E-03
muscle organ development (GO:0007517)	293	5	.60	+	8.37	3.34E-04	8.81E-03
positive regulation of protein kinase activity (GO:0045860)	414	7	.84	+	8.29	2.04E-05	8.00E-04
positive regulation of cell development (GO:0010720)	296	5	.60	+	8.28	3.50E-04	9.16E-03
response to xenobiotic stimulus (GO:0009410)	417	7	.85	+	8.23	2.14E-05	8.35E-04
